dia;mes;Ano;hora;DiaSemana;chamadas
03;01;1999;9;1;130
03;01;1999;10;1;171
03;01;1999;11;1;136
03;01;1999;12;1;130
03;01;1999;13;1;139
03;01;1999;14;1;150
03;01;1999;15;1;165
03;01;1999;16;1;257
03;01;1999;17;1;187
03;01;1999;18;1;89
03;01;1999;19;1;78
03;01;1999;20;1;75
03;01;1999;21;1;65
03;01;1999;22;1;48
04;01;1999;9;2;114
04;01;1999;10;2;164
04;01;1999;11;2;148
04;01;1999;12;2;121
04;01;1999;13;2;70
04;01;1999;14;2;199
04;01;1999;15;2;144
04;01;1999;16;2;108
04;01;1999;17;2;126
04;01;1999;18;2;95
04;01;1999;19;2;82
04;01;1999;20;2;73
04;01;1999;21;2;74
04;01;1999;22;2;60
05;01;1999;9;3;113
05;01;1999;10;3;121
05;01;1999;11;3;126
05;01;1999;12;3;97
05;01;1999;13;3;109
05;01;1999;14;3;121
05;01;1999;15;3;132
05;01;1999;16;3;160
05;01;1999;17;3;110
05;01;1999;18;3;93
05;01;1999;19;3;62
05;01;1999;20;3;62
05;01;1999;21;3;48
05;01;1999;22;3;68
06;01;1999;9;4;101
06;01;1999;10;4;128
06;01;1999;11;4;95
06;01;1999;12;4;96
06;01;1999;13;4;104
06;01;1999;14;4;112
06;01;1999;15;4;109
06;01;1999;16;4;88
06;01;1999;17;4;81
06;01;1999;18;4;62
06;01;1999;19;4;78
06;01;1999;20;4;64
06;01;1999;21;4;51
06;01;1999;22;4;59
07;01;1999;9;5;123
07;01;1999;10;5;119
07;01;1999;11;5;108
07;01;1999;12;5;104
07;01;1999;13;5;75
07;01;1999;14;5;153
07;01;1999;15;5;141
07;01;1999;16;5;211
07;01;1999;17;5;137
07;01;1999;18;5;128
07;01;1999;19;5;55
07;01;1999;20;5;39
07;01;1999;21;5;40
07;01;1999;22;5;36
10;01;1999;9;1;113
10;01;1999;10;1;157
10;01;1999;11;1;133
10;01;1999;12;1;111
10;01;1999;13;1;172
10;01;1999;14;1;156
10;01;1999;15;1;163
10;01;1999;16;1;310
10;01;1999;17;1;181
10;01;1999;18;1;116
10;01;1999;19;1;73
10;01;1999;20;1;62
10;01;1999;21;1;50
10;01;1999;22;1;22
13;01;1999;9;4;130
13;01;1999;10;4;
13;01;1999;11;4;68
13;01;1999;12;4;126
13;01;1999;13;4;121
13;01;1999;14;4;175
13;01;1999;15;4;165
13;01;1999;16;4;127
13;01;1999;17;4;99
13;01;1999;18;4;118
13;01;1999;19;4;105
13;01;1999;20;4;66
13;01;1999;21;4;59
13;01;1999;22;4;66
14;01;1999;9;5;104
14;01;1999;10;5;150
14;01;1999;11;5;118
14;01;1999;12;5;112
14;01;1999;13;5;96
14;01;1999;14;5;108
14;01;1999;15;5;125
14;01;1999;16;5;193
14;01;1999;17;5;152
14;01;1999;18;5;94
14;01;1999;19;5;79
14;01;1999;20;5;49
14;01;1999;21;5;18
14;01;1999;22;5;45
17;01;1999;9;1;116
17;01;1999;10;1;127
17;01;1999;11;1;115
17;01;1999;12;1;103
17;01;1999;13;1;116
17;01;1999;14;1;112
17;01;1999;15;1;139
17;01;1999;16;1;180
17;01;1999;17;1;146
17;01;1999;18;1;80
17;01;1999;19;1;70
17;01;1999;20;1;48
17;01;1999;21;1;45
17;01;1999;22;1;35
18;01;1999;9;2;108
18;01;1999;10;2;144
18;01;1999;11;2;108
18;01;1999;12;2;115
18;01;1999;13;2;88
18;01;1999;14;2;91
18;01;1999;15;2;231
18;01;1999;16;2;104
18;01;1999;17;2;73
18;01;1999;18;2;72
18;01;1999;19;2;78
18;01;1999;20;2;49
18;01;1999;21;2;54
18;01;1999;22;2;47
19;01;1999;9;3;109
19;01;1999;10;3;141
19;01;1999;11;3;114
19;01;1999;12;3;105
19;01;1999;13;3;105
19;01;1999;14;3;106
19;01;1999;15;3;99
19;01;1999;16;3;124
19;01;1999;17;3;87
19;01;1999;18;3;72
19;01;1999;19;3;61
19;01;1999;20;3;51
19;01;1999;21;3;52
19;01;1999;22;3;66
20;01;1999;9;4;115
20;01;1999;10;4;114
20;01;1999;11;4;92
